author_id,first_name,middle_name,last_name
3,Alecos,,Papadatos
4,Paul,C.van,Oorschot
5,David,,Cronin
6,Richard,,Blum
7,Yuval,Noah,Harari
8,Paul,,Albitz
9,David,,Beazley
10,John,Paul,Shen
11,Andrew,,Miller
12,Melanie,,Swan
13,Neal,,Ford
14,Nir,,Shavit
15,Tim,,Kindberg
16,Mike,,McQuaid
17,Brian,P.,Hogan
18,Jean-Philippe,,Aumasson
19,Lance,,Fortnow
20,Richard,C.,Jeffrey
21,William,L.,Simon
22,Magnus,Lie,Hetland
23,Mike,,McShaffry
24,Norman,,Matloff
25,John,E.,Hopcroft
26,S.,,Sudarshan
27,Bruce,,Eckel
28,Bill,,Gates
29,Shane,,Harvie
30,Ralph,P.,Grimaldi
31,Garry,,Kasparov
32,Lawrence,C.,Paulson
33,Donella,H.,Meadows
34,Maria,,Levitin
35,Joy,A.,Thomas
36,Scott,,Rosenberg
37,Mark,,Nelson
38,Hal,,Abelson
39,Ray,,Seyfarth
40,Fred,,Turner
41,Andrew,,Honig
42,Helen,,Sharp
43,Katie,,Hafner
44,Christopher,,Negus
45,Ralph,,Kimball
46,Trent,R.,Hein
47,Venkat,,Subramaniam
48,Simon,J.D.,Prince
50,Stephen,,Wolfram
51,Jennifer,,Petoff
52,Massimo,,Banzi
53,Mickey,,Petersen
54,Ethem,,Alpaydin
55,Ytaelena,,LA3pez
56,John,L.,Hennessy
57,Cameron,,Moll
58,Jamie,,Levy
59,Janet,,Gregory
60,Jenifer,,Tidwell
61,Steven,S.,Skiena
62,Jimmy,,Soni
63,Tracy,,Kidder
64,Douglas,R.,Hofstadter
65,Zed,,Shaw
66,Yoav,,Shoham
67,Danny,,Goodman
68,Bert,,Bates
69,David,,Gries
70,Eric,,Newcomer
71,Jim,R.,Wilson
72,Maarten,van,Steen
73,Tsung-Hsien,,Lee
74,M.,Mitchell,Waldrop
75,George,,Pólya
76,Richard,S.,Bird
77,Ben,,Collins-Sussman
78,Micha,,Gorelick
79,Christopher,T.,Haynes
80,Carlos,,Bueno
81,Michael,L.,Scott
82,William,Jr.,Gwaltney
83,Binu,,John
84,Dan,,Bader
85,Chris,,Smith
86,Andrew,,Stellman
87,Kevin,,Poulsen
88,Peter,,Linz
89,Jim,,OGorman
90,Ali,,Almossawi
91,David,,Robson
92,Brad,,Abrams
93,Timothy,,Downs
94,Kyle,,Loudon
95,Robert,,Eckstein
96,Wolfgang,,Banzhaf
97,Mike,,Beedle
98,Luke,,Ruth
99,Brad,,Stone
100,David,,Gourley
101,Greg,,Kroah-Hartman
102,Jurgen,,Appelo
103,Eric,,Ries
104,Ian,,Parberry
105,Johan,,Vromans
106,Corey,,Sandler
107,Devon,,Kearns
108,Steven,,Feiner
109,Kevlin,,Henney
110,Abraham,,Silberschatz
111,Mark,,Russinovich
112,Carl,,Eastlund
113,Hans,,Langtangen
114,Carin,,Meier
115,Rebecca,,Wirfs-Brock
116,Lasse,,Koskela
117,David,,Chelimsky
118,Why,Stiff,Lucky
119,Christopher,,Hadnagy
120,Sebastian,,Raschka
121,Henk,,Barendregt
122,Tobias,,Nipkow
123,Chris,,Bernhardt
124,Joost-Pieter,,Katoen
125,R.G.,,Dromey
126,Andrew,,McAfee
127,Jeff,,Hawkins
128,Paul,,Deitel
129,Albert,,Meyer
130,Angus,,Croll
131,Jason,,Hickey
132,Nathan,,Marz
133,Miguel,,Revilla
134,Maurice,,Herlihy
135,Gareth,,James
136,Hanne,,Nielson
137,Vern,,Ceder
138,Matt,,Pharr
139,Joe,,Armstrong
140,Mati,,Aharoni
141,Patrick,,Debois
142,Sandi,,Metz
143,Benedikt,,GroAY
144,Peter,,Sanders
145,Baron,,Schwartz
146,Paul,,Clements
147,Scott,,Ambler
148,R.,,Dybvig
149,Stephen,,Figgins
150,Stephan,,Mertens
151,Cay,,Horstmann
152,Luis,,Atencio
153,Michael,,Nielsen
154,Aaron,,Courville
155,W.H.,,Feijen
156,Richard,,Bejtlich
157,Peter,,Bruce
158,Adam,,Gibson
159,Vernon,,Ceder
160,Patrick,,Winston
161,Scott,,Vanstone
162,Jon,,Duckett
163,Nick,,Bostrom
164,Michael,,Dahlin
165,Eric,,Meyer
166,David,,Harel
167,Claude,,Shannon
168,Daryl,,Harms
169,Dan,,North
170,Roberto,,Tamassia
171,Paul,,Freiberger
172,George,,Heineman
173,Jeffrey,,Yost
174,Matt,,Weisfeld
175,Luciano,,Ramalho
176,Mary,,Poppendieck
177,M.,,Ozsu
178,Emily,,Chang
179,Douglas,,Stinson
180,Sara,,Wachter-Boettcher
181,Rajeev,,Motwani
182,John,,Sonmez
183,Y.,,Liang
184,Stanley,,Selkow
185,Christopher,,Duncan
186,Michael,,Whitman
187,Ron,,Jeffries
188,Johannes,,Braams
189,SaA!a,,Juric
190,Peter,,Thiel
191,Steve,,Souders
192,Jerome,,Friedman
193,Scott,,Mueller
194,Mark,,Dowd
195,Kelli,,Houston
196,Hinrich,,Schütze
197,Ethan,,Marcotte
198,Mark,,Pilgrim
199,Martin,,Davis
200,Craig,,Sharkie
201,Addy,,Osmani
202,N.,,Friedman
203,Daniel,,Rose
204,Chris,,Houser
205,Linus,,Torvalds
206,Matthew,,Helmke
207,John,,Battelle
208,Jon,,Kleinberg
209,Alan,,Cooper
210,Yoshua,,Bengio
211,Henrik,,Kniberg
212,Anshul,,Gupta
213,Judith,,Gersting
214,Jared,,Spool
215,William,,Brown
216,Ward,,Cunningham
217,Wladston,,Filho
218,Johnny,,Long
219,Cathy,,ONeil
220,June,,Barrow-Green
221,Jason,,Williams
222,Edward,,Skoudis
223,Jérémie,,Zimmermann
224,Mario,,Fusco
225,Jason,,Gregory
226,Micah,,Martin
227,Lloyd,,Trefethen
228,Erwin,,Schrödinger
229,Chris,,Dannen
230,Shlomo,,Angel
231,Tom,,Badgett
232,Shon,,Harris
233,Brian,,Krebs
234,Graham,,Hutton
235,Ross,,Anderson
236,Linda,,Torczon
237,Steve,,Freeman
238,Simson,,Garfinkel
239,Ilya,,Grigorik
240,Jan,,Eijck
241,Philip,,Bernstein
242,Larry,,Ullman
243,Michael,,Feathers
244,Linda,,
245,Martin,,Ford
246,Sandro,,Mancuso
248,Donald,,Rubin
249,Steve,,Matyas
250,Richard,,Woods
251,Tim,,Roughgarden
252,Jeff,,Edmonds
253,Eoin,,Woods
254,Brian,,Fitzpatrick
255,N.,,Mermin
256,Karl,,Seguin
257,Leo,,Brodie
258,Robert,,Sebesta
259,Janet,,Valade
260,Bill,,Fenner
261,Lorna,,Mitchell
262,Satya,,Nadella
263,Dan,,Cederholm
264,Bryan,,Helmkamp
265,Dale,,Dougherty
266,Ka,,Cheung
267,Mark,,Lutz
268,Tom,,Phoenix
269,Mark,,Hamstra
270,Gayle,,McDowell
271,Michael,,Swaine
272,Yvonne,,Rogers
273,Edmond,,Lau
274,Mike,,Clark
275,Gordon,,Blair
276,Mark,,Ciampa
277,Pramod,,Sadalage
278,Subrata,,Dasgupta
279,Stuart,,McClure
280,Gary,,Bradski
281,Brian,,Lonsdorf
282,Jesse,,Robbins
283,Steven,,Pinker
284,David,,Stork
285,Luke,,Wroblewski
286,Graham,,Lee
287,J.,,Adams
288,Stephen,,Thorne
289,Dmitry,,Jemerov
290,Thomas,,Connolly
291,J.,,Brookshear
292,W.,,Hillis
293,Petar,,Tahchiev
294,Arnold,,Robbins
295,Chris,,Hankin
296,Jack,,Moffett
297,Andreas,,Wittig
298,Kjell,,Johnson
299,Christine,,Bresnahan
300,Tom,,Christiansen
301,Harvey,,Deitel
302,Allan,,Friedman
303,Tom,,DeMarco
304,Chris,,Rowley
305,Chris,,Eagle
306,Gina,,Smith
307,David,,LeBlanc
308,Andrea,,Arpaci-Dusseau
309,Martin,,Reddy
310,Eliezer,,Yudkowsky
311,Alfred,,Aho
312,John,,Maeda
313,Janna,,Levin
314,Christopher,,Cunningham
315,Flemming,,Nielson
316,Anne,,Troelstra
317,Hartley,,Rogers
318,Jonathan,,Katz
319,Cory,,Althoff
320,Betty,,Toole
321,H.,,Schwichtenberg
322,Sara,,Ishikawa
323,Dennis,,Shasha
324,Daniela,,Witten
325,Nilanjan,,Raychaudhuri
326,Avdi,,Grimm
327,Martin,,Fowler
328,Brian,,Carper
329,Mat,,Buckland
330,Amit,,Prakash
331,V.,,Spraul
332,Craig,,Martell
333,Svetlana,,Isakova
334,James,,Trott
335,Kenneth,,Rubin
336,William,Jr.,Shotts
337,Ian,,Sommerville
338,Dennis,,Ritchie
339,Brendan,,Burns
340,Adele,,Goldberg
341,Conor,,McBride
342,Andy,,Müller-Maguhn
343,Foster,,Provost
344,Tom,,Mitchell
345,Duncan,,Watts
346,David,,Wood
347,Ming,,Li
348,Alan,,McKean
349,Tatiana,,Diaz
350,David,,III
351,Nelson,,Beebe
352,Mike,,Meyers
353,Bruce,,MacLennan
354,Suzanne,,Robertson
355,David,,Carlisle
356,Peter,,Weinberger
357,Ingrid,,Fiksdahl-King
358,Igal,,Tabachnik
359,Greg,,Michaelson
360,Jeroen,,Janssens
361,Nicholas,,Haemel
362,Felix,,Halim
363,David,,Kennedy
364,Roger,,Pressman
365,J.P.,,Vossen
366,Daniel,,Higginbotham
367,Colin,,Evans
368,Robert,,Nystrom
369,Ron,,White
370,Justin,,Schuh
371,Carlos,,Coronel
372,Matt,,Carter
373,Guy,,Theraulaz
374,Zachary,,Tong
375,Richard,,Stallman
376,David,,Holmes
377,George,,Dyson
378,Kent,,Beck
379,Nathan,,Ensmenger
380,Micah,,Alpern
381,Steven,,Halim
382,Greg,,Riccardi
383,Matthew,,Lyon
384,Dan,,Jurafsky
385,Asanovi,,
386,Richard,,Gabriel
387,Marco,,Dorigo
388,Brian,,Flannery
389,Thomas,,Anderson
390,Ben,,Albahari
391,Gary,,Pollice
392,Jon,,Orwant
393,Dave,,Fancher
394,John,,Smart
395,Wallace,,Wang
396,Julian,,Assange
397,Alex,,Payne
398,Terence,,Parr
399,Kees,,Doets
400,Eldad,,Eilam
401,John,,Zelle
402,Marsha,,Zaidman
403,Kip,,Irvine
404,Deepak,,Alur
405,Magnus,,Christerson
406,Martin,,Abbott
407,F.,,Lawvere
408,Robert,,Harper
409,K.N.,,King
410,Diana,,Wright
411,Daniel,,Velleman
412,Frank,,OBrien
413,Andrew,,Farris
414,Niranjan,,Shivaratri
415,Don,,Jones
416,Adam,,Freeman
